slot_index|date|start_hour|end_hour|person_count|person_ids
1|2021-11-01|0|12|44|17592186115614,17592186081329,17592186126843,17592186059365,17592186084986,17592186141284,17592186049211,17592186077701,17592186074524,17592186120253,17592186115344,17592186132835,17592186106599,17592186116096,17592186117158,17592186050602,17592186079887,17592186120615,17592186110969,17592186134711,17592186130034,17592186121701,17592186050984,17592186052283,17592186103553,17592186099278,17592186050463,17592186064498,17592186103224,17592186047366,17592186143893,17592186124242,17592186067430,17592186058438,17592186096160,17592186141519,17592186113053,17592186122298,17592186050769,17592186142335,17592186058841,17592186082971,17592186049164,17592186050430
2|2021-11-01|12|24|49|17592186144366,17592186114736,17592186102955,17592186084665,17592186065254,17592186128184,17592186059087,17592186067618,17592186132099,17592186111004,17592186092805,17592186096881,17592186139051,17592186058972,17592186078022,17592186082137,17592186076427,17592186094645,17592186113500,17592186078432,17592186135626,17592186092174,17592186118355,17592186099443,17592186109092,17592186102741,17592186130000,17592186068021,17592186131883,17592186109426,17592186055215,17592186113769,17592186077033,17592186061076,17592186130915,17592186051866,17592186073224,17592186097345,17592186112899,17592186132518,17592186141367,17592186088703,17592186135512,17592186089061,17592186069890,17592186065256,17592186081338,17592186061456,17592186101134
3|2021-11-02|0|12|59|17592186089008,17592186132762,17592186097470,17592186136591,17592186133139,17592186080923,17592186141484,17592186109856,17592186064940,17592186059685,17592186102208,17592186100258,17592186103753,17592186107275,17592186136261,17592186128325,17592186130419,17592186046413,17592186138503,17592186068567,17592186110522,17592186077733,17592186109554,17592186123791,17592186077787,17592186111317,17592186137342,17592186085140,17592186055834,17592186124882,17592186105943,17592186057019,17592186103701,17592186065783,17592186097498,17592186092331,17592186056229,17592186086920,17592186082113,17592186124617,17592186087404,17592186133162,17592186073813,17592186084570,17592186059557,17592186059162,17592186112303,17592186082690,17592186102198,17592186111816,17592186057998,17592186086897,17592186106525,17592186069216,17592186097152,17592186144264,17592186076732,17592186052588,17592186143449
4|2021-11-02|12|24|45|17592186049686,17592186099803,17592186069125,17592186068141,17592186135081,17592186104021,17592186065897,17592186070541,17592186058609,17592186131736,17592186091714,17592186054696,17592186084400,17592186106181,17592186141377,17592186111347,17592186135191,17592186088232,17592186104653,17592186109913,17592186137281,17592186060791,17592186118278,17592186144051,17592186070928,17592186060586,17592186114153,17592186080532,17592186141327,17592186124952,17592186087396,17592186051439,17592186063472,17592186077746,17592186100221,17592186141854,17592186056122,17592186068286,17592186076485,17592186129656,17592186112737,17592186081322,17592186086239,17592186050079,17592186091497
5|2021-11-03|0|12|50|17592186083809,17592186129827,17592186121931,17592186101066,17592186061536,17592186118945,17592186096702,17592186110962,17592186106401,17592186136391,17592186106633,17592186097567,17592186087808,17592186107210,17592186089064,17592186141376,17592186124113,17592186061978,17592186088589,17592186106974,17592186078436,17592186106575,17592186066573,17592186125720,17592186128606,17592186101395,17592186056058,17592186108459,17592186073305,17592186052730,17592186045291,17592186102378,17592186067004,17592186073323,17592186056561,17592186137899,17592186100067,17592186078014,17592186133530,17592186061222,17592186094749,17592186115168,17592186097627,17592186081059,17592186101944,17592186128115,17592186077070,17592186069673,17592186100270,17592186066022
6|2021-11-03|12|24|43|17592186131379,17592186075986,17592186113258,17592186052301,17592186122734,17592186084720,17592186122658,17592186109967,17592186082333,17592186086538,17592186135086,17592186060730,17592186121677,17592186048007,17592186094820,17592186128773,17592186127169,17592186106287,17592186048831,17592186113840,17592186131771,17592186051293,17592186085224,17592186140877,17592186083897,17592186071489,17592186133975,17592186052481,17592186061611,17592186118667,17592186099093,17592186058587,17592186113322,17592186134190,17592186071880,17592186108093,17592186096477,17592186109025,17592186056918,17592186143327,17592186142519,17592186108354,17592186094470
7|2021-11-04|0|12|43|17592186057673,17592186126687,17592186130691,17592186080050,17592186143979,17592186095270,17592186120065,17592186075416,17592186083870,17592186050160,17592186141131,17592186119481,17592186093449,17592186081114,17592186083473,17592186068726,17592186124772,17592186142080,17592186060558,17592186058591,17592186122862,17592186069668,17592186125858,17592186134652,17592186057174,17592186065340,17592186124262,17592186132783,17592186047271,17592186100420,17592186086976,17592186119585,17592186082848,17592186107045,17592186045746,17592186074422,17592186133651,17592186117309,17592186049121,17592186050899,17592186078698,17592186055112,17592186109628
8|2021-11-04|12|24|54|17592186076655,17592186083221,17592186050360,17592186075115,17592186095323,17592186110413,17592186082904,17592186082397,17592186089680,17592186064373,17592186116883,17592186138418,17592186082139,17592186072448,17592186120088,17592186060396,17592186061546,17592186072277,17592186107021,17592186096234,17592186122805,17592186066913,17592186051132,17592186056882,17592186093315,17592186140527,17592186115636,17592186062720,17592186076936,17592186114730,17592186107582,17592186072014,17592186053640,17592186079948,17592186086090,17592186091378,17592186110520,17592186122842,17592186077981,17592186049166,17592186076700,17592186119750,17592186100046,17592186110438,17592186068950,17592186055717,17592186109390,17592186047037,17592186050857,17592186045924,17592186068101,17592186098021,17592186070588,17592186081903
9|2021-11-05|0|12|47|17592186104819,17592186085208,17592186141465,17592186087429,17592186121336,17592186136188,17592186058658,17592186054779,17592186063912,17592186081366,17592186048234,17592186071911,17592186073967,17592186067684,17592186113881,17592186123632,17592186080794,17592186128127,17592186140128,17592186100362,17592186143766,17592186091180,17592186127442,17592186081845,17592186087955,17592186045734,17592186075619,17592186057332,17592186083135,17592186087431,17592186085974,17592186109715,17592186093689,17592186113257,17592186110454,17592186091646,17592186120261,17592186079154,17592186079310,17592186116901,17592186053786,17592186056420,17592186089801,17592186090935,17592186065303,17592186102547,17592186080310
10|2021-11-05|12|24|38|17592186050808,17592186050963,17592186116776,17592186120342,17592186109764,17592186057482,17592186066971,17592186095311,17592186140683,17592186108199,17592186081824,17592186108578,17592186045286,17592186077127,17592186121802,17592186104045,17592186128137,17592186097942,17592186087840,17592186096862,17592186075841,17592186122306,17592186129228,17592186096271,17592186065479,17592186091774,17592186141356,17592186079947,17592186046762,17592186117707,17592186046977,17592186093339,17592186087348,17592186075296,17592186088228,17592186112274,17592186072952,17592186056109
11|2021-11-06|0|12|33|17592186074126,17592186093517,17592186088921,17592186128739,17592186111924,17592186077770,17592186074875,17592186125182,17592186136673,17592186081603,17592186053054,17592186084624,17592186106085,17592186070824,17592186105816,17592186046161,17592186077687,17592186049399,17592186121098,17592186056354,17592186139853,17592186045743,17592186094329,17592186128191,17592186073402,17592186070405,17592186048500,17592186048707,17592186076529,17592186122620,17592186121578,17592186114309,17592186130437
12|2021-11-06|12|24|54|17592186111044,17592186094889,17592186045817,17592186093120,17592186110056,17592186075973,17592186106537,17592186108485,17592186124192,17592186078449,17592186118701,17592186090367,17592186086154,17592186140500,17592186089562,17592186073864,17592186076144,17592186124503,17592186104115,17592186110861,17592186106407,17592186096613,17592186075894,17592186079738,17592186098266,17592186142788,17592186055752,17592186058835,17592186127256,17592186087416,17592186059754,17592186076885,17592186125987,17592186128590,17592186062481,17592186138854,17592186127005,17592186108491,17592186122126,17592186066625,17592186127386,17592186053216,17592186067363,17592186068837,17592186108515,17592186072182,17592186045453,17592186120540,17592186126452,17592186097626,17592186087308,17592186123068,17592186062953,17592186086541
13|2021-11-07|0|12|47|17592186140187,17592186074063,17592186065514,17592186048641,17592186135574,17592186130225,17592186117554,17592186075009,17592186139837,17592186142709,17592186137026,17592186048198,17592186119485,17592186108820,17592186110741,17592186064187,17592186088144,17592186051922,17592186143212,17592186052965,17592186055847,17592186136033,17592186130454,17592186073350,17592186056298,17592186131244,17592186053102,17592186102550,17592186056273,17592186051381,17592186100609,17592186099184,17592186090660,17592186096371,17592186119725,17592186095892,17592186103745,17592186085458,17592186140484,17592186126059,17592186062355,17592186131963,17592186126255,17592186071585,17592186056938,17592186079910,17592186082935
14|2021-11-07|12|24|54|17592186059905,17592186072606,17592186097929,17592186067653,17592186058634,17592186132770,17592186085823,17592186094442,17592186126234,17592186106421,17592186047996,17592186082959,17592186081387,17592186086952,17592186112537,17592186083218,17592186056416,17592186052223,17592186087888,17592186105951,17592186088209,17592186107421,17592186047857,17592186100676,17592186063490,17592186117011,17592186119963,17592186051376,17592186138402,17592186125129,17592186144012,17592186047979,17592186141716,17592186092084,17592186062725,17592186111299,17592186076420,17592186121760,17592186130712,17592186062124,17592186081813,17592186109325,17592186071434,17592186130759,17592186136179,17592186050067,17592186072086,17592186073256,17592186117906,17592186090233,17592186071890,17592186097889,17592186113129,17592186068885
15|2021-11-08|0|12|43|17592186054331,17592186051772,17592186128541,17592186119100,17592186132436,17592186070461,17592186063833,17592186113547,17592186112647,17592186092871,17592186087122,17592186075371,17592186079139,17592186050589,17592186105329,17592186056644,17592186049593,17592186112969,17592186083450,17592186074562,17592186106030,17592186059104,17592186121167,17592186090428,17592186089470,17592186092022,17592186084974,17592186124659,17592186065735,17592186139972,17592186132533,17592186130585,17592186075316,17592186112260,17592186080147,17592186133134,17592186064332,17592186048403,17592186107081,17592186139974,17592186094924,17592186086055,17592186048693
16|2021-11-08|12|24|42|17592186120564,17592186140402,17592186115160,17592186064345,17592186116880,17592186122254,17592186092735,17592186094409,17592186046610,17592186098752,17592186101132,17592186119551,17592186072766,17592186092998,17592186091927,17592186065559,17592186074247,17592186139586,17592186079211,17592186076307,17592186106105,17592186082741,17592186139614,17592186080738,17592186106207,17592186070178,17592186078040,17592186053775,17592186127968,17592186125394,17592186073435,17592186081251,17592186065339,17592186139772,17592186137904,17592186078465,17592186112377,17592186052305,17592186099931,17592186118570,17592186144169,17592186102858
17|2021-11-09|0|12|56|17592186130667,17592186083648,17592186084782,17592186110176,17592186051255,17592186082645,17592186084820,17592186133142,17592186122258,17592186061425,17592186123610,17592186047724,17592186093069,17592186058708,17592186085028,17592186079599,17592186128708,17592186067845,17592186080061,17592186126058,17592186084430,17592186086533,17592186066216,17592186073314,17592186067329,17592186097103,17592186095210,17592186060194,17592186116488,17592186058384,17592186050291,17592186082601,17592186099429,17592186132092,17592186046924,17592186058542,17592186047407,17592186083617,17592186128919,17592186124633,17592186143269,17592186079867,17592186124874,17592186073510,17592186083000,17592186114342,17592186112557,17592186101478,17592186132053,17592186044516,17592186092571,17592186045853,17592186116039,17592186058109,17592186130286,17592186093862
18|2021-11-09|12|24|60|17592186094735,17592186122215,17592186120359,17592186080610,17592186057308,17592186083411,17592186092141,17592186137365,17592186080570,17592186087188,17592186083516,17592186058255,17592186073660,17592186075461,17592186137712,17592186070743,17592186107755,17592186109918,17592186069572,17592186121276,17592186125110,17592186079618,17592186130996,17592186108348,17592186083519,17592186071012,17592186122078,17592186094790,17592186059615,17592186124883,17592186075575,17592186045231,17592186136847,17592186070228,17592186064493,17592186058888,17592186110456,17592186048237,17592186096386,17592186128462,17592186075834,17592186115132,17592186044583,17592186135038,17592186128239,17592186080219,17592186044488,17592186052692,17592186068057,17592186045986,17592186124994,17592186079210,17592186124122,17592186070679,17592186097899,17592186078392,17592186058739,17592186143885,17592186110844,17592186049300
19|2021-11-10|0|12|52|17592186076694,17592186141024,17592186083143,17592186097794,17592186063530,17592186063177,17592186054822,17592186134422,17592186059846,17592186115102,17592186059132,17592186123890,17592186045907,17592186047537,17592186079163,17592186103493,17592186121880,17592186122760,17592186088099,17592186056690,17592186088986,17592186090759,17592186103417,17592186101997,17592186044500,17592186098386,17592186082908,17592186103622,17592186126601,17592186047891,17592186072732,17592186100712,17592186111092,17592186109634,17592186089373,17592186118289,17592186120886,17592186126204,17592186104348,17592186100171,17592186105246,17592186104356,17592186133840,17592186130496,17592186086450,17592186070477,17592186052816,17592186130658,17592186066840,17592186095384,17592186108640,17592186049309
